ANIO,MES,FECHA,FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_TOTAL_E
2017,06,15JUN2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,081","23,510","24,591"
2017,07,15JUL2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,058","23,717","24,775"
2017,08,15AUG2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,035","23,742","24,777"
2017,09,15SEP2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,011","24,035","25,046"
2017,10,15OCT2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,988,"24,294","25,282"
2017,11,15NOV2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,964,"24,545","25,509"
2017,12,15DEC2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,941,"24,708","25,649"
2018,01,15JAN2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,917,"24,962","25,879"
2018,02,15FEB2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,894,"25,053","25,947"
2018,03,15MAR2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,872,"25,158","26,030"
2018,04,15APR2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,880,"25,396","26,276"
2018,05,15MAY2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,884,"25,510","26,394"
2018,06,15JUN2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,892,"25,730","26,622"
2018,07,15JUL2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,901,"26,003","26,904"
2018,08,15AUG2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,906,"26,148","27,054"
2018,09,15SEP2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,914,"26,365","27,279"
2018,10,15OCT2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,928,"26,764","27,692"
2018,11,15NOV2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,942,"27,176","28,118"
2018,12,15DEC2018,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,956,"27,575","28,531"
2019,01,15JAN2019,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,970,"27,987","28,957"
2019,02,15FEB2019,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,972,"28,043","29,015"
2019,03,15MAR2019,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,974,"28,081","29,055"
2019,04,15APR2019,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,979,"28,225","29,204"
2019,05,15MAY2019,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,987,"28,466","29,453"
2019,06,15JUN2019,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,987,"28,470","29,457"
2013,01,15JAN2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"759,622","9,438","769,060"
2013,02,15FEB2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"768,650","7,701","776,351"
2013,03,15MAR2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"772,683","7,628","780,311"
2013,04,15APR2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"766,712","7,557","774,269"
2013,05,15MAY2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"757,658","7,459","765,117"
2013,06,15JUN2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"760,235","7,499","767,734"
2013,07,15JUL2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"761,299","9,635","770,934"
2013,08,15AUG2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"778,606","9,779","788,385"
2013,09,15SEP2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"794,969","11,727","806,696"
2013,10,15OCT2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"802,970","14,059","817,029"
2013,11,15NOV2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"817,908","14,061","831,969"
2013,12,15DEC2013,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"841,574","14,156","855,730"
2014,01,15JAN2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"872,580","15,733","888,313"
2014,02,15FEB2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"889,265","18,049","907,314"
2014,03,15MAR2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"912,291","20,015","932,306"
2014,04,15APR2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"926,004","20,108","946,112"
2014,05,15MAY2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"952,176","20,254","972,430"
2014,06,15JUN2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"971,860","20,473","992,333"
2014,07,15JUL2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"996,011","20,670","1,016,681"
2014,08,15AUG2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,034,421","21,046","1,055,467"
2014,09,15SEP2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,067,468","21,651","1,089,119"
2014,10,15OCT2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,099,649","22,298","1,121,947"
2014,11,15NOV2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,136,656","22,835","1,159,491"
2014,12,15DEC2014,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,177,766","22,663","1,200,429"
2015,01,15JAN2015,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,221,369","23,963","1,245,332"
2015,02,15FEB2015,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,251,377","32,295","1,283,672"
2015,03,15MAR2015,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,284,936","32,466","1,317,402"
2015,04,15APR2015,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,397,071","91,616","1,488,687"
2015,05,15MAY2015,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,430,431","93,287","1,523,718"
2015,06,15JUN2015,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,460,326","96,058","1,556,384"
2015,07,15JUL2015,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,493,510","98,878","1,592,388"
2015,08,15AUG2015,100418,"MEGA CABLE, S.A. DE C.V.",C378,MEGACABLE,G008,MEGACABLE-MCM,"1,546,038","102,847","1,648,885"
