ANIO,MES,FECHA,K_GRUPO,GRUPO,MARKET_SHARE
2015,11,15NOV2015,C373,MAXCOM,1.135%
2015,11,15NOV2015,C054,AXESAT,0.004%
2015,11,15NOV2015,C611,ULTRAVISION,0.010%
2015,11,15NOV2015,C010,AIRECABLE,0.010%
2015,11,15NOV2015,C350,MARCATEL,0.002%
2015,11,15NOV2015,C599,TV REY,0.069%
2015,11,15NOV2015,C020,ALESTRA,0.051%
2015,12,15DEC2015,C599,TV REY,0.068%
2015,12,15DEC2015,G006,AMÉRICA MÓVIL,60.272%
2015,12,15DEC2015,G004,GRUPO TELEVISA,20.937%
2015,12,15DEC2015,C373,MAXCOM,1.114%
2015,12,15DEC2015,C020,ALESTRA,0.050%
2015,12,15DEC2015,G001,AXTEL,3.004%
2015,12,15DEC2015,C584,TOTALPLAY,1.974%
2015,12,15DEC2015,C054,AXESAT,0.004%
2015,12,15DEC2015,C010,AIRECABLE,0.011%
2015,12,15DEC2015,C611,ULTRAVISION,0.009%
2015,12,15DEC2015,C350,MARCATEL,0.002%
2015,12,15DEC2015,C259,TRANSTELCO,0.005%
2015,12,15DEC2015,G008,MEGACABLE-MCM,12.549%
2016,01,15JAN2016,G008,MEGACABLE-MCM,12.785%
2016,01,15JAN2016,G006,AMÉRICA MÓVIL,59.936%
2016,01,15JAN2016,C584,TOTALPLAY,2.162%
2016,01,15JAN2016,G004,GRUPO TELEVISA,20.830%
2016,01,15JAN2016,G003,TELEFÓNICA,0.033%
2016,01,15JAN2016,C373,MAXCOM,1.098%
2016,01,15JAN2016,C599,TV REY,0.068%
2016,01,15JAN2016,G009,AXTEL,3.054%
2016,01,15JAN2016,C054,AXESAT,0.004%
2016,01,15JAN2016,C010,AIRECABLE,0.011%
2016,01,15JAN2016,C611,ULTRAVISION,0.010%
2016,01,15JAN2016,C259,TRANSTELCO,0.005%
2016,01,15JAN2016,C350,MARCATEL,0.002%
2016,02,15FEB2016,G008,MEGACABLE-MCM,12.872%
2016,02,15FEB2016,C259,TRANSTELCO,0.006%
2016,02,15FEB2016,G006,AMÉRICA MÓVIL,59.725%
2016,02,15FEB2016,C584,TOTALPLAY,2.301%
2016,02,15FEB2016,C599,TV REY,0.068%
2016,02,15FEB2016,G004,GRUPO TELEVISA,20.874%
2016,02,15FEB2016,G003,TELEFÓNICA,0.032%
2016,02,15FEB2016,C373,MAXCOM,1.086%
2016,02,15FEB2016,C010,AIRECABLE,0.011%
2016,02,15FEB2016,C054,AXESAT,0.004%
2016,02,15FEB2016,C611,ULTRAVISION,0.010%
