FOLIO,CONCESIONARIO,FECHA,ANIO,MES,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,A_TOTAL_E,A_V1_E,A_V2_E,A_V3_E,A_V4_E
100415,"ALESTRA, S. DE R.L. DE C.V.",15NOV2015,2015,11,C020,ALESTRA,C020,ALESTRA,"7,359",45,"4,943","2,230",141
100415,"ALESTRA, S. DE R.L. DE C.V.",15DEC2015,2015,12,C020,ALESTRA,C020,ALESTRA,"7,321",45,"4,918","2,219",139
100415,"ALESTRA, S. DE R.L. DE C.V.",15JAN2016,2016,01,C020,ALESTRA,G009,AXTEL,"7,285",44,"4,893","2,208",140
100415,"ALESTRA, S. DE R.L. DE C.V.",15FEB2016,2016,02,C020,ALESTRA,G009,AXTEL,"7,251",44,"4,871","2,197",139
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAR2016,2016,03,C020,ALESTRA,G009,AXTEL,"7,219",44,"4,849","2,188",138
100415,"ALESTRA, S. DE R.L. DE C.V.",15APR2016,2016,04,C020,ALESTRA,G009,AXTEL,"7,182",44,"4,824","2,177",137
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAY2016,2016,05,C020,ALESTRA,G009,AXTEL,"7,150",44,"4,803","2,167",136
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUN2016,2016,06,C020,ALESTRA,G009,AXTEL,"7,112",43,"4,777","2,155",137
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUL2016,2016,07,C020,ALESTRA,G009,AXTEL,"6,882",42,"4,623","2,086",131
100415,"ALESTRA, S. DE R.L. DE C.V.",15AUG2016,2016,08,C020,ALESTRA,G009,AXTEL,"6,936",42,"4,659","2,102",133
100415,"ALESTRA, S. DE R.L. DE C.V.",15SEP2016,2016,09,C020,ALESTRA,G009,AXTEL,"7,041",43,"4,729","2,134",135
100415,"ALESTRA, S. DE R.L. DE C.V.",15OCT2016,2016,10,C020,ALESTRA,G009,AXTEL,"7,152",44,"4,804","2,167",137
100415,"ALESTRA, S. DE R.L. DE C.V.",15NOV2016,2016,11,C020,ALESTRA,G009,AXTEL,"7,269",44,"4,883","2,203",139
100415,"ALESTRA, S. DE R.L. DE C.V.",15DEC2016,2016,12,C020,ALESTRA,G009,AXTEL,"7,394",45,"4,967","2,241",141
100415,"ALESTRA, S. DE R.L. DE C.V.",15JAN2017,2017,01,C020,ALESTRA,G009,AXTEL,"23,891",145,"16,048","7,240",458
100415,"ALESTRA, S. DE R.L. DE C.V.",15FEB2017,2017,02,C020,ALESTRA,G009,AXTEL,"23,945",146,"16,084","7,257",458
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAR2017,2017,03,C020,ALESTRA,G009,AXTEL,"24,109",147,"16,194","7,306",462
100415,"ALESTRA, S. DE R.L. DE C.V.",15APR2017,2017,04,C020,ALESTRA,G009,AXTEL,"24,396",148,"16,387","7,393",468
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAY2017,2017,05,C020,ALESTRA,G009,AXTEL,"24,483",149,"16,445","7,420",469
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUN2017,2017,06,C020,ALESTRA,G009,AXTEL,"24,591",150,"16,518","7,452",471
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUL2017,2017,07,C020,ALESTRA,G009,AXTEL,"24,775",151,"16,641","7,508",475
100415,"ALESTRA, S. DE R.L. DE C.V.",15AUG2017,2017,08,C020,ALESTRA,G009,AXTEL,"24,777",151,"16,643","7,509",474
100415,"ALESTRA, S. DE R.L. DE C.V.",15SEP2017,2017,09,C020,ALESTRA,G009,AXTEL,"25,046",152,"16,823","7,590",481
100415,"ALESTRA, S. DE R.L. DE C.V.",15OCT2017,2017,10,C020,ALESTRA,G009,AXTEL,"25,282",154,"16,982","7,662",484
100415,"ALESTRA, S. DE R.L. DE C.V.",15NOV2017,2017,11,C020,ALESTRA,G009,AXTEL,"25,509",155,"17,134","7,731",489
100415,"ALESTRA, S. DE R.L. DE C.V.",15DEC2017,2017,12,C020,ALESTRA,G009,AXTEL,"25,649",156,"17,228","7,773",492
100415,"ALESTRA, S. DE R.L. DE C.V.",15JAN2018,2018,01,C020,ALESTRA,G009,AXTEL,"25,879",157,"17,383","7,843",496
100415,"ALESTRA, S. DE R.L. DE C.V.",15FEB2018,2018,02,C020,ALESTRA,G009,AXTEL,"25,947",158,"17,429","7,863",497
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAR2018,2018,03,C020,ALESTRA,G009,AXTEL,"26,030",158,"17,484","7,889",499
100415,"ALESTRA, S. DE R.L. DE C.V.",15APR2018,2018,04,C020,ALESTRA,G009,AXTEL,"26,276",158,"17,699","7,918",501
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAY2018,2018,05,C020,ALESTRA,G009,AXTEL,"26,394",158,"17,787","7,946",503
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUN2018,2018,06,C020,ALESTRA,G009,AXTEL,"26,622",158,"17,984","7,974",506
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUL2018,2018,07,C020,ALESTRA,G009,AXTEL,"26,904",160,"18,175","8,058",511
100415,"ALESTRA, S. DE R.L. DE C.V.",15AUG2018,2018,08,C020,ALESTRA,G009,AXTEL,"27,054",161,"18,276","8,103",514
100415,"ALESTRA, S. DE R.L. DE C.V.",15SEP2018,2018,09,C020,ALESTRA,G009,AXTEL,"27,279",162,"18,428","8,171",518
100415,"ALESTRA, S. DE R.L. DE C.V.",15OCT2018,2018,10,C020,ALESTRA,G009,AXTEL,"27,692",164,"18,707","8,295",526
100415,"ALESTRA, S. DE R.L. DE C.V.",15NOV2018,2018,11,C020,ALESTRA,G009,AXTEL,"28,118",167,"18,995","8,422",534
100415,"ALESTRA, S. DE R.L. DE C.V.",15DEC2018,2018,12,C020,ALESTRA,G009,AXTEL,"28,531",169,"19,274","8,546",542
100415,"ALESTRA, S. DE R.L. DE C.V.",15JAN2019,2019,01,C020,ALESTRA,G009,AXTEL,"28,957",172,"19,561","8,674",550
100415,"ALESTRA, S. DE R.L. DE C.V.",15FEB2019,2019,02,C020,ALESTRA,G009,AXTEL,"29,015",172,"19,601","8,691",551
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAR2019,2019,03,C020,ALESTRA,G009,AXTEL,"29,055",173,"19,627","8,703",552
100415,"ALESTRA, S. DE R.L. DE C.V.",15APR2019,2019,04,C020,ALESTRA,G009,AXTEL,"29,204",173,"19,728","8,748",555
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAY2019,2019,05,C020,ALESTRA,G009,AXTEL,"29,453",175,"19,897","8,822",559
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUN2019,2019,06,C020,ALESTRA,G009,AXTEL,"29,457",175,"19,900","8,823",559
100418,"MEGA CABLE, S.A. DE C.V.",15JAN2013,2013,01,C378,MEGACABLE,G008,MEGACABLE-MCM,"769,060","57,510","708,996","2,554",0
100418,"MEGA CABLE, S.A. DE C.V.",15FEB2013,2013,02,C378,MEGACABLE,G008,MEGACABLE-MCM,"776,351","57,253","716,837","2,261",0
100418,"MEGA CABLE, S.A. DE C.V.",15MAR2013,2013,03,C378,MEGACABLE,G008,MEGACABLE-MCM,"780,311","54,314","723,672","2,325",0
100418,"MEGA CABLE, S.A. DE C.V.",15APR2013,2013,04,C378,MEGACABLE,G008,MEGACABLE-MCM,"774,269","53,176","718,741","2,352",0
100418,"MEGA CABLE, S.A. DE C.V.",15MAY2013,2013,05,C378,MEGACABLE,G008,MEGACABLE-MCM,"765,117","51,559","711,211","2,347",0
100418,"MEGA CABLE, S.A. DE C.V.",15JUN2013,2013,06,C378,MEGACABLE,G008,MEGACABLE-MCM,"767,734","48,226","716,976","2,532",0
100418,"MEGA CABLE, S.A. DE C.V.",15JUL2013,2013,07,C378,MEGACABLE,G008,MEGACABLE-MCM,"770,934","48,591","704,735","17,608",0
